Year,State,Number of CoCs,Overall Homeless,Sheltered ES Homeless,Sheltered TH Homeless,Sheltered Total Homeless,Unsheltered Homeless
2008,WY,1,751,395,224,619,132
2007,AK,2,1642,898,489,1387,255
2007,AL,8,5452,1452,2344,3796,1656
2007,AR,9,3836,1251,1034,2285,1551
2007,AZ,3,14646,3934,4684,8618,6028
2007,CA,42,138986,23920,24591,48511,90475
2007,CO,3,14225,3630,3341,6971,7254
2007,CT,12,4482,2262,1409,3671,811
2007,DE,1,1061,439,415,854,207
2007,FL,27,48069,8988,11541,20529,27540
2007,GA,7,19639,4267,4074,8341,11298
2007,HI,2,6070,1039,1673,2712,3358
2007,IA,3,2734,852,1589,2441,293
2007,ID,2,1749,586,539,1125,624
2007,IL,21,15487,5913,6258,12171,3316
2007,IN,3,7358,2871,3225,6096,1262
2007,KS,6,2111,1172,657,1829,282
2007,KY,3,8061,2666,3274,5940,2121
2007,LA,9,5494,1388,2529,3917,1577
2007,MA,21,15127,7311,6402,13713,1414
2007,MD,16,9628,3564,2854,6418,3210
2007,ME,3,2638,664,1912,2576,62
2007,MI,24,28295,7325,4227,11552,16743
2007,MN,13,7323,2899,2979,5878,1445
2007,MO,9,6247,2969,2168,5137,1110
2007,MS,3,1377,303,548,851,526
2007,MT,1,1150,502,353,855,295
2007,NC,13,11802,4745,3134,7879,3923
2007,ND,1,636,405,172,577,59
2007,NE,7,3531,1798,1209,3007,524
2007,NH,3,2248,725,548,1273,975
2007,NJ,21,17314,10095,4741,14836,2478
2007,NM,2,3015,958,790,1748,1267
2007,NV,3,8642,1528,3290,4818,3824
2007,NY,32,62601,44686,12595,57281,5320
2007,OH,9,11264,5695,3685,9380,1884
2007,OK,8,4221,2154,935,3089,1132
2007,OR,8,17590,3462,4867,8329,9261
2007,PA,17,16220,6445,8296,14741,1479
2007,RI,1,1372,688,635,1323,49
2007,SC,5,5660,1680,1406,3086,2574
2007,SD,1,579,269,269,538,41
2007,TN,10,11210,3587,2859,6446,4764
2007,TX,18,39788,13840,9042,22882,16906
2007,UT,3,3011,1551,1147,2698,313
2007,VA,22,9746,4323,3244,7567,2179
2007,VT,2,1035,340,380,720,315
2007,WA,8,23379,6450,10407,16857,6522
2007,WI,4,5648,2366,2719,5085,563
2007,WV,4,2409,1677,470,2147,262
2007,WY,1,537,272,125,397,140
