"TL","Territory Level and Typology","REG_ID","Region","VAR","Variable","VINTAGE","Vintage","DWELLINGS","Dwellings","MEASURE","Measure","FREQ","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",90.593,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",95.113,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",105.231,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",110.937,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",117.084,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",122.507,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",128.824,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",146.53,,
"1","Country","USA","United States","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",171.333,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",51.51,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",53.15,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1992","1992","IDX","Index","0","Units","2015_100","2015=100",55.263,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1993","1993","IDX","Index","0","Units","2015_100","2015=100",57.625,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1994","1994","IDX","Index","0","Units","2015_100","2015=100",59.725,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1995","1995","IDX","Index","0","Units","2015_100","2015=100",62.127,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1996","1996","IDX","Index","0","Units","2015_100","2015=100",64.639,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1997","1997","IDX","Index","0","Units","2015_100","2015=100",67.063,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1998","1998","IDX","Index","0","Units","2015_100","2015=100",70.477,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1999","1999","IDX","Index","0","Units","2015_100","2015=100",72.302,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2000","2000","IDX","Index","0","Units","2015_100","2015=100",74.115,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2001","2001","IDX","Index","0","Units","2015_100","2015=100",78.204,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2002","2002","IDX","Index","0","Units","2015_100","2015=100",80.498,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2003","2003","IDX","Index","0","Units","2015_100","2015=100",83.701,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2004","2004","IDX","Index","0","Units","2015_100","2015=100",86.891,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2005","2005","IDX","Index","0","Units","2015_100","2015=100",93.012,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2006","2006","IDX","Index","0","Units","2015_100","2015=100",100.376,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2007","2007","IDX","Index","0","Units","2015_100","2015=100",105.119,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2008","2008","IDX","Index","0","Units","2015_100","2015=100",106.3,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2009","2009","IDX","Index","0","Units","2015_100","2015=100",104.77,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2010","2010","IDX","Index","0","Units","2015_100","2015=100",100.83,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2011","2011","IDX","Index","0","Units","2015_100","2015=100",97.448,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2012","2012","IDX","Index","0","Units","2015_100","2015=100",96.913,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2013","2013","IDX","Index","0","Units","2015_100","2015=100",96.21,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2014","2014","IDX","Index","0","Units","2015_100","2015=100",97.336,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2015","2015","IDX","Index","0","Units","2015_100","2015=100",100,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2016","2016","IDX","Index","0","Units","2015_100","2015=100",102.895,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2017","2017","IDX","Index","0","Units","2015_100","2015=100",105.982,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2018","2018","IDX","Index","0","Units","2015_100","2015=100",110.314,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2019","2019","IDX","Index","0","Units","2015_100","2015=100",115.826,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2020","2020","IDX","Index","0","Units","2015_100","2015=100",122.555,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2021","2021","IDX","Index","0","Units","2015_100","2015=100",138.506,,
"2","Large regions","US01","Alabama (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","2022","2022","IDX","Index","0","Units","2015_100","2015=100",161.803,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1990","1990","IDX","Index","0","Units","2015_100","2015=100",36.598,,
"2","Large regions","US02","Alaska (USA)","RHPI","House Price Index","VINTAGE_EXISTING","Existing","DWELLINGS_SINGLE_F","Single-Family","IXOB","Index publication base","A","Annual","1991","1991","IDX","Index","0","Units","2015_100","2015=100",41.528,,
