Year,FIPS_Code,State,Area_Name,Civilian_labor_force,Employed,Unemployed,Unemployment_rate
2001,30000,MT,Montana,465355.0,443866.0,21489.0,4.600000000000001
2001,31000,NE,Nebraska,945374.0,915662.0,29712.0,3.1
2001,32000,NV,Nevada,1113529.0,1055769.0,57760.0,5.2
2001,33000,NH,New Hampshire,692029.0,668566.0,23463.0,3.4
2001,34000,NJ,New Jersey,4294366.0,4112095.0,182271.0,4.2
2001,35000,NM,New Mexico,855088.0,812557.0,42531.0,5.0
2001,36000,NY,New York,9126538.0,8680547.0,445991.0,4.9
2001,37000,NC,North Carolina,4191959.0,3956124.0,235835.0,5.600000000000001
2001,38000,ND,North Dakota,342528.0,332805.0,9723.0,2.8
2001,39000,OH,Ohio,5821151.0,5566414.0,254737.0,4.4
2001,40000,OK,Oklahoma,1672620.0,1611746.0,60874.0,3.6
2001,41000,OR,Oregon,1815076.0,1699359.0,115717.0,6.4
2001,42000,PA,Pennsylvania,6178900.0,5882813.0,296087.0,4.800000000000001
2001,44000,RI,Rhode Island,541661.0,517532.0,24129.0,4.5
2001,45000,SC,South Carolina,1941956.0,1839246.0,102710.0,5.300000000000001
2001,46000,SD,South Dakota,413493.0,401072.0,12421.0,3.0
2001,47000,TN,Tennessee,2857659.0,2728621.0,129038.0,4.5
2001,48000,TX,Texas,10539140.0,10014830.0,524310.0,5.0
2001,49000,UT,Utah,1162874.0,1112047.0,50827.0,4.4
2001,50000,VT,Vermont,338145.0,326980.0,11165.0,3.3
2001,51000,VA,Virginia,3681107.0,3559669.0,121438.0,3.3
2001,53000,WA,Washington,3085655.0,2900354.0,185301.0,6.0
2001,54000,WV,West Virginia,796596.0,753657.0,42939.0,5.4
2001,55000,WI,Wisconsin,3017681.0,2884305.0,133376.0,4.4
2001,56000,WY,Wyoming,268393.0,258172.0,10221.0,3.8
2002,0,US,United States,144839298.0,136455783.0,8383515.0,5.800000000000001
2002,1000,AL,Alabama,2112621.0,1987633.0,124988.0,5.9
2002,2000,AK,Alaska,327054.0,303560.0,23494.0,7.2
2002,4000,AZ,Arizona,2683502.0,2518051.0,165451.0,6.2
2002,5000,AR,Arkansas,1276964.0,1209006.0,67958.0,5.300000000000001
2002,6000,CA,California,17246528.0,16081472.0,1165056.0,6.800000000000001
2002,8000,CO,Colorado,2448903.0,2309639.0,139264.0,5.7
2002,9000,CT,Connecticut,1776064.0,1697788.0,78276.0,4.4
2002,10000,DE,Delaware,417207.0,399417.0,17790.0,4.3
2002,12000,FL,Florida,8050051.0,7651923.0,398128.0,4.9
2002,13000,GA,Georgia,4341617.0,4111627.0,229990.0,5.300000000000001
2002,15000,HI,Hawaii,601786.0,577616.0,24170.0,4.0
2002,16000,ID,Idaho,685650.0,647019.0,38631.0,5.600000000000001
2002,17000,IL,Illinois,6341891.0,5925990.0,415901.0,6.600000000000001
2002,18000,IN,Indiana,3161709.0,2997963.0,163746.0,5.2
2002,19000,IA,Iowa,1629047.0,1564178.0,64869.0,4.0
2002,20000,KS,Kansas,1419335.0,1347163.0,72172.0,5.100000000000001
2002,21000,KY,Kentucky,1944682.0,1832250.0,112432.0,5.800000000000001
2002,22000,LA,Louisiana,2013652.0,1892947.0,120705.0,6.0
2002,23000,ME,Maine,678559.0,648301.0,30258.0,4.5
2002,24000,MD,Maryland,2872367.0,2734977.0,137390.0,4.800000000000001
2002,25000,MA,Massachusetts,3436864.0,3257517.0,179347.0,5.2
2002,26000,MI,Michigan,5034722.0,4723286.0,311436.0,6.2
2002,27000,MN,Minnesota,2873004.0,2744745.0,128259.0,4.5
2002,28000,MS,Mississippi,1290793.0,1207799.0,82994.0,6.4
2002,29000,MO,Missouri,2981097.0,2823361.0,157736.0,5.300000000000001
2002,30000,MT,Montana,466408.0,445122.0,21286.0,4.600000000000001
2002,31000,NE,Nebraska,952937.0,917833.0,35104.0,3.7
2002,32000,NV,Nevada,1134096.0,1069601.0,64495.0,5.7
2002,33000,NH,New Hampshire,700563.0,668980.0,31583.0,4.5
2002,34000,NJ,New Jersey,4345273.0,4094389.0,250884.0,5.800000000000001
2002,35000,NM,New Mexico,866850.0,819275.0,47575.0,5.5
2002,36000,NY,New York,9294770.0,8718237.0,576533.0,6.2
2002,37000,NC,North Carolina,4209274.0,3917218.0,292056.0,6.9
2002,38000,ND,North Dakota,342463.0,330852.0,11611.0,3.4
2002,39000,OH,Ohio,5827493.0,5490092.0,337401.0,5.800000000000001
2002,40000,OK,Oklahoma,1685334.0,1607453.0,77881.0,4.600000000000001
2002,41000,OR,Oregon,1834254.0,1696894.0,137360.0,7.5
2002,42000,PA,Pennsylvania,6214539.0,5869299.0,345240.0,5.600000000000001
2002,44000,RI,Rhode Island,550244.0,522201.0,28043.0,5.100000000000001
2002,45000,SC,South Carolina,1954548.0,1828735.0,125813.0,6.4
2002,46000,SD,South Dakota,416793.0,403343.0,13450.0,3.2
2002,47000,TN,Tennessee,2898948.0,2750424.0,148524.0,5.100000000000001
2002,48000,TX,Texas,10742014.0,10061049.0,680965.0,6.300000000000001
2002,49000,UT,Utah,1179433.0,1112581.0,66852.0,5.7
2002,50000,VT,Vermont,343261.0,330080.0,13181.0,3.8
2002,51000,VA,Virginia,3739499.0,3576530.0,162969.0,4.4
2002,53000,WA,Washington,3101001.0,2881326.0,219675.0,7.100000000000001
2002,54000,WV,West Virginia,798709.0,747040.0,51669.0,6.5
2002,55000,WI,Wisconsin,3016760.0,2856234.0,160526.0,5.300000000000001
2002,56000,WY,Wyoming,269405.0,258571.0,10834.0,4.0
